Year,Neighborhood,Case_Count,Median_Latitude,Median_Longitude
2008,Alamo Square,88,37.775396349999994,-122.4358902
2008,Anza Vista,20,37.781188965,-122.44121933
2008,Apparel City,31,37.73786163,-122.4043045
2008,Aquatic Park / Ft. Mason,35,37.80549622,-122.4220047
2008,Ashbury Heights,34,37.76319885,-122.449363705
2008,Balboa Terrace,5,37.7300148,-122.46647644
2008,Bayview,488,37.73399353,-122.388896945
2008,Bernal Heights,588,37.743303295000004,-122.41828156
2008,Bret Harte,171,37.72087479,-122.3935318
2008,Buena Vista,119,37.77125931,-122.44054413
2008,Candlestick Point SRA,14,37.71615601,-122.38813019
2008,Castro,312,37.76267242,-122.434101105
2008,Cathedral Hill,151,37.78286743,-122.4226532
2008,Cayuga,183,37.72109604,-122.43968964
2008,Central Waterfront,127,37.75150299,-122.38976288
2008,Chinatown,118,37.794002535000004,-122.40701294
2008,Civic Center,236,37.777944565,-122.419498445
2008,Clarendon Heights,37,37.75680542,-122.44639587
2008,Cole Valley,63,37.76795959,-122.45014954
2008,Corona Heights,80,37.763441085,-122.43627167
2008,Cow Hollow,45,37.7984581,-122.44406128
2008,Crocker Amazon,217,37.71224213,-122.4395752
2008,Diamond Heights,27,37.74327469,-122.43768311
2008,Dogpatch,57,37.76042557,-122.38948822
2008,Dolores Heights,225,37.75507355,-122.4241333
2008,Downtown / Union Square,206,37.78822136,-122.406562805
2008,Duboce Triangle,539,37.76961517,-122.43058014
2008,Eureka Valley,125,37.75940704,-122.44001007
2008,Excelsior,524,37.722446445,-122.43207931500001
2008,Fairmount,77,37.73980331,-122.42661285
2008,Financial District,93,37.79184341,-122.40005493
2008,Fisherman's Wharf,37,37.8061409,-122.41524506
2008,Forest Hill,17,37.74839401,-122.46333313
2008,Forest Knolls,27,37.75702667,-122.45802307
2008,Glen Park,51,37.73576736,-122.43480682
2008,Golden Gate Heights,135,37.7543869,-122.47177887
2008,Golden Gate Park,146,37.77217865,-122.48419189
2008,Haight Ashbury,159,37.77030563,-122.4475708
2008,Hayes Valley,282,37.77583313,-122.427253725
2008,Holly Park,191,37.73740768,-122.42355347
2008,Hunters Point,131,37.72792435,-122.3812027
2008,India Basin,20,37.73216248,-122.37578583
2008,Ingleside,141,37.72163391,-122.45818329
2008,Ingleside Terraces,31,37.72505951,-122.46774292
2008,Inner Richmond,708,37.78170395,-122.46958923
2008,Inner Sunset,161,37.76329803,-122.46718597
2008,Japantown,53,37.78578568,-122.43120575
2008,Laguna Honda,17,37.74304962,-122.45767212
2008,Lake Street,33,37.78551102,-122.48166656
2008,Lakeshore,16,37.729642865,-122.49279785
2008,Laurel Heights / Jordan Park,51,37.7835083,-122.45249176
2008,Lincoln Park / Ft. Miley,1,37.77841568,-122.51443481
2008,Little Hollywood,25,37.71065903,-122.39942169
2008,Lone Mountain,96,37.778266904999995,-122.4500885
2008,Lower Haight,458,37.772798535,-122.43043518
2008,Lower Nob Hill,525,37.78859711,-122.41518402
2008,Lower Pacific Heights,128,37.785776135000006,-122.44172668
2008,Marina,180,37.801733014999996,-122.43717194
2008,McLaren Park,28,37.72180939,-122.41648102
2008,Merced Heights,134,37.71218872,-122.46702576
